filename,genre,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,chroma_mean,chroma_std,tempo,rms_energy_mean,rms_energy_std,tonnetz_mean,tonnetz_std
pop.00080.au,pop,-44.972015,59.464615,69.765335,28.840467,11.851115,20.17313,8.137467,18.400345,12.62307,14.286172,7.7987547,16.131565,11.307399,11.1421995,0.19175638,11.3238325,9.630409,10.640457,2.8426685,9.274187,3.8571951,8.699971,-0.83266294,8.024009,2.1378024,9.092289,1.092536,9.781403,-0.06844653,10.586325,0.6488355,10.301345,-1.4783102,11.3785095,3.7229264,10.283215,4.547461,10.876804,4.263485,9.269703,3151.445800513278,911.0488503451962,7293.239232113487,1755.4569690306985,0.1275974899622678,0.06983669051193582,0.43361697,0.30202514,110.45223066119685,0.2157003,0.09080833,0.02960882099043312,0.09750140546486906
pop.00022.au,pop,-45.71781,65.84354,65.287415,24.014336,12.934513,21.27996,14.516592,16.19,7.038325,10.640283,4.395021,13.630265,6.6337786,12.244918,3.301898,9.325782,7.7297864,8.7974,4.070035,8.8003025,3.6681185,7.1264763,2.606271,7.683262,4.0490017,7.600322,2.3892908,7.69961,1.7840554,6.505999,-2.3934214,6.478937,-1.3437685,7.405574,-2.8735752,8.873273,-0.84610224,8.646146,-2.5911918,8.065125,3206.199866093883,915.3078266879843,7019.440887734617,1567.560674753165,0.14153920460042568,0.08343343157514205,0.3869217,0.29845557,103.359375,0.1961218,0.07903552,0.027174433775451916,0.060492100705409176
pop.00073.au,pop,-8.531341,55.027363,54.251755,23.107737,20.96331,20.575762,13.099079,13.011524,9.721153,10.34863,6.015052,11.043411,10.720785,9.92848,6.1021194,8.211914,0.6942644,8.241311,5.0023856,9.336305,-3.4498136,8.607124,0.87255687,7.2696905,-1.9390469,7.9369154,-2.7849798,7.0098095,-2.6762013,7.40362,-3.3184636,7.4054976,1.7050132,7.5273027,-0.14683868,7.6434846,4.848468,8.798253,2.9080086,8.730405,3671.2604882708424,937.0246795761713,7879.044023165393,1286.8252011674888,0.16189735814144737,0.08461007200126341,0.42336026,0.28641656,129.19921875,0.2598068,0.09610067,-0.016268940788034616,0.09739052156426418
pop.00047.au,pop,-45.064255,59.482147,69.78576,28.824137,11.866148,20.103071,8.177108,18.375334,12.603081,14.266875,7.750251,16.101847,11.3099985,11.136587,0.25850755,11.3994875,9.65932,10.67245,2.803888,9.2447,3.8585238,8.711114,-0.83530426,8.025199,2.1194327,9.0986395,1.1247411,9.75092,0.007464288,10.598483,0.761385,10.354558,-1.4808842,11.379897,3.656361,10.256181,4.4588914,10.8704605,4.1998005,9.2659025,3149.97113080032,909.593489435534,7291.955906540247,1753.1582609496027,0.12735523897058823,0.06973665898059997,0.4335399,0.30208057,110.37252099826274,0.21580054,0.090983115,0.02888631025878382,0.09654791411960348
pop.00016.au,pop,-97.0082,80.70666,51.786003,24.82374,18.738693,20.684868,20.481663,17.189583,5.6104527,12.520248,3.5735023,13.899143,5.5722895,12.055169,0.737395,11.920444,7.3361273,10.801096,1.6588529,8.648102,-2.7012625,10.2104025,-0.44397426,9.502669,-1.0818589,7.639265,-3.45436,7.6596594,-2.4807754,6.691168,-3.309378,6.897212,-2.2329962,7.23909,-2.6434991,7.00831,-2.74049,7.5992775,0.3115342,7.9040823,3490.329748964607,955.841728519582,7499.387985560178,1545.6364531540887,0.15341592794601394,0.08587397567031377,0.38877133,0.30616826,110.33268142223358,0.14658915,0.10215594,-0.02478597461960916,0.1135673022198894
pop.00006.au,pop,-169.15085,70.08314,94.640785,24.043037,24.504723,18.800877,27.41387,13.444352,11.641731,7.868944,14.895841,10.245578,4.234472,7.955986,12.369024,6.538521,10.702795,6.0761685,5.126413,6.7002587,-0.34236664,7.5193024,1.2547648,6.713003,-4.1575894,6.893471,-3.1358938,7.099199,0.29853344,5.8226953,-3.551203,6.11416,-2.8172486,5.818536,-5.7609015,6.2258105,-5.2082133,7.6287913,-0.09840235,7.067633,2125.4079876587084,851.6687155538492,4979.028225830834,1901.4783883952482,0.06769535785119969,0.052067686155297964,0.37462318,0.29292473,94.9994255514706,0.09395813,0.038234957,0.07843337692271675,0.1591101943444162
pop.00057.au,pop,-39.691376,62.874508,33.951675,24.44598,9.604388,22.934448,16.657578,20.488955,14.906162,15.61129,11.198783,15.547723,21.502827,12.896659,9.886202,12.23798,14.732349,9.799871,15.628255,9.295986,2.040395,9.7112875,2.579496,8.453937,0.35728568,9.2143755,1.6512009,7.547828,6.9411736,8.99582,8.237751,10.308845,9.367546,12.51638,6.9661984,10.848326,1.496738,10.4714985,-1.1285765,11.119945,3672.6739422013616,1033.5953630335036,7783.686266447368,1631.52824609348,0.15406445010158668,0.10243915143345804,0.51853126,0.2989254,109.49828524727064,0.3293133,0.14713779,-0.0007517931453619434,0.04945314030772275
pop.00063.au,pop,-125.98142,45.551167,117.33393,24.429493,-0.07229208,17.264317,10.211122,14.457426,4.49017,11.89384,2.1888666,11.675388,-3.6360846,10.235021,3.3763409,10.501571,1.7375194,8.915645,4.5511193,8.430843,0.8427298,8.575003,2.4246018,8.3251705,-3.1125748,8.199467,-2.837452,7.8794804,-6.106637,8.343724,-5.2675734,8.717087,-1.8156683,9.292071,-3.2187061,10.568089,1.2653753,9.811699,5.800691,8.897672,1826.5420467927368,583.2940420706718,3796.335377412684,1685.655012791442,0.07464656298374613,0.025637080539983016,0.31671932,0.29960647,122.61830616292569,0.12609246,0.03565272,0.02659966874814964,0.12608696963573945
pop.00032.au,pop,-113.1695,78.71344,41.588142,29.644672,21.516308,24.945078,11.092117,20.32898,17.440653,15.4141035,0.6074316,14.61073,3.0293286,11.431543,0.08450875,12.274307,3.4569807,12.2236,0.2906402,9.628684,0.61601543,9.176616,1.2555636,8.607767,2.8942456,8.53559,-0.7695475,6.967045,0.22040617,7.5449085,-1.4086616,6.967755,-0.7604615,7.525746,-0.8702321,8.628129,-1.5392059,9.008706,1.0672659,8.938793,4225.564575455603,1279.9727927644924,8483.032037599169,1449.3885849335638,0.22873671209849072,0.1366127977782069,0.42664915,0.29860264,104.92000048374614,0.097890966,0.04633424,-0.012579647085363105,0.08576025993038763
pop.00090.au,pop,-44.723248,43.749863,55.059223,26.195845,27.137182,20.935965,19.50298,15.078904,14.696994,10.796005,3.2040474,12.8188715,5.509529,9.480421,1.4237081,9.945262,4.4969788,9.272296,1.367907,7.7115536,-1.6663119,8.648558,-3.5344167,6.737419,-7.9148335,8.311955,-3.5322053,7.208835,-8.198315,7.3733525,-3.392684,7.2870126,-2.6661003,7.4195538,4.2834873,7.5482106,1.3531152,7.8869004,-0.16799045,6.4317126,3603.429553551326,967.9418147157721,7959.451870283475,1265.7865114742262,0.14755995428599072,0.08846918969243606,0.35314766,0.29960543,104.49621023097606,0.19408727,0.04728341,0.058366376983343626,0.13422530434552712
