song_name,artist,spotify_id,popularity
Carried Away (feat. Night Lovell),"$uicideboy$, Night Lovell",1IWDzlzjmhKZQp3dqXfv6W,74
walk on water freestyle,Scrim,4RK3qXxRrKTdCpSxLm7B45,58
One Last Breath,Creed,42T2QQv3xgBlpQxaSP7lnK,83
How Bout Now,Drake,4n4BflhWjCHIxrI4v7Xt9s,64
Chain Breaker,$uicideboy$,3GEGJVMKsI9OcVGMQsZ46R,73
Full of Grace (I Refuse to Tend My Own Grave),$uicideboy$,5mSRLKGJ0Uc7FW7SlJFKaP,75
Napoleon,$uicideboy$,328p9YLeNTjWUnL6qCXqmv,80
axeman of new orleans,Scrim,0zG4jfE8cPebHPUdB4w94y,52
real tree playas anthem,Scrim,5Bl5e9QdTWsjkUNfKZCeq7,56
2AM,Mellina Tey,6pGsqGOElEz1xJhxBuPMxK,52
you & i,"lucidbeatz, Emilia Ali",7k5tAo1fAZnJdkdKjzmvwr,54
Stray.wav,$undown,1KoWiQGR2ry2N1NvAN5r0M,71
Tell Me You Love Me,Peach Pit,12TuGHYMlodnW9X2NaL37v,54
Falling in Love,"No Mana, vowl., Leyla Diamondi",1LOPw4e9afnq7YqTpuKqpR,47
Dreaming - Gibson Parker Remix,"Rootkit, Cammie Robinson, Gibson Parker",3nXFJJmhSKF4fTUNVcmAG2,56
Put It On,Big L,6JI5wNWYdBw68GZjOMmgK5,64
Robbery '95,Necro,4sisv5YE8tWpi24sCzqDiC,50
Umbrella (with 21 Savage & Young Nudy),"Metro Boomin, 21 Savage, Young Nudy",2Yt4SXIgmoaPZHGdRafp4P,65
Which One (feat. Central Cee),"Drake, Central Cee",5FMyXeZ0reYloRTiCkPprT,88
インフェルノ,Mrs. GREEN APPLE,2vOAHp8PBBFYqvQUWSoITY,74
紅蓮華,LiSA,0qMip0B2D4ePEjBJvAtYre,74
カワキヲアメク,美波,3kUWZiVYJ4YQOl0u7Y1Og8,70
Kaikai Kitan,Eve,6y4GYuZszeXNOXuBFsJlos,71
DAISIES,Justin Bieber,5BZsQlgw21vDOAjoqkNgKb,94
ないものねだり,KANA-BOON,1dsh4buvcBs2u7YtHy29c7,61
シルエット,KANA-BOON,1di1C0QI6Y92yZPYn6XYAZ,73
TEMPORARY FRIENDS,"NOTION, Charlotte Plank",2WlXPpZlL8Oy0CI67okGPw,66
Phoneline,"Pola & Bryson, Emily Makis",5nCNItjhTUj7MqL3oFHmFc,62
Bombalaya - Blooom Remix,"DNMO, Wolfy Lights, Blooom",5utINKwnXh1drV2vI9cnze,65
So Much In Love - Sub Focus Remix,"D.O.D, Sub Focus",7umV8hDGUBIYV3kxoNz1Vb,55
VIRUS - Odd Mob Remix,"GEN.KLOUD, Odd Mob",0MyfdGptOUnUnGzJmiyCOG,60
SECRETS,"NOTION, Cameron Hayes",2MHfZtevUlcxFLbyhtT4Q3,60
BACKBONE,"NOTION, Olivia Rose",3JMMI4JoOzhDX2X1yzGwBL,55
FOUND LOVE (feat. Carrie Baxter),"NOTION, Carrie Baxter",5Ndsdhx3jKxjQmHw7QkHmi,62
Hooked,NOTION,4v7kKFlEDmpVToHOICsXaM,66
She Will,"Lil Wayne, Drake",78O33U6jbQtNiNfbkZudpd,78
Stay,FISHER,74y1VgzL668hynrvA59WQB,73
Massive,Drake,28JBD8p18xNuOfyV7Cotdn,72
Recrush,"akiaura, LONOWN",6vhMRECODoL8BRYxbGlOYb,49
Crystal Skies (Sped Up),"VXLLAIN, iGRES, ENXK",5rBan6pzEHxPdlCQXaykL9,65
Veridis Quo,Daft Punk,2LD2gT7gwAurzdQDQtILds,72
Before the Night,Home,6vi4sU6GhFppK6cEZhsgYF,50
Matsuri,Fujii Kaze,7AMGgAPFczs3wJgMqu6Eqi,67
scars,Novulent,016z46SJwcRosW9Xb8JKmF,68
Come and See Me (feat. Drake),"PARTYNEXTDOOR, Drake",6cEguiQecbXrFlsnMi2ysr,76
Immigrant Song - Remaster,Led Zeppelin,78lgmZwycJ3nzsdgmPPGNx,78
Self-Inflicted,$uicideboy$,5sAFNiUyOkURTbcayOIsZl,56
Now and at the Hour of Our Death (feat. BONES),"$uicideboy$, BONES",5g3PPNIHL5yMci2pio9ZoI,72
Coward,Hans Zimmer,4GBZUZe04pHVN0TLhejCSS,52
Mountains,Hans Zimmer,0Sg3UL7f40ulmTh0Xwr6qY,63
